Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
slate.com,0,0,1,6,0,0,0,0,0,1,1,0,0,0,1,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
yourdictionary.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
pautmizerin.files.wordpress.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
etoday.co.kr,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
wikihow.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
southerntennessee.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
itunesgenerator.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
holiganbett1.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
fifplay.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
secureupdate.appleld.com.duilawyeryork.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1
orderpps.xyz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
www84.presentes-promocoes-premier.com,0,0,1,6,0,0,0,1,1,1,1,1,1,1,1,1,1
chqryurim.co.kr,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
hepsibahisgirisimiz.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
lungolivignofashion.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
developershome.com,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
adexten.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
elperiscopio.cl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
secureupdate.appleld.com.duilawyeryork.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,1
urbandictionary.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
mail.budi01.whatsaap.com.getsviip7.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
syonyk.blogspot.com,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
twitter.com,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
e710z0ear.du.r.appspot.com,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1
mdmplus.com.ph,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
simplypsychology.org,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
webguru.asia,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1
officedocs-download.com,0,1,1,5,0,0,0,1,1,1,1,1,1,1,1,1,1
Cisco.com,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,0
tunein.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
tokyodreamhouse.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
spelectric.co.in,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1
daddy.com.vn,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1
kayakthefloridakeys.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
zeroenergydesign.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
cevital.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
duluxshop.lk,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
sites.google.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,1,1
dotartprinting.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
community.linksys.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
anna-volkova.blogspot.com,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0
ozziedeals.com.au,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
eve292929.dothome.co.kr,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
ofival.es,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
maisonae.fr,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
emi-shielding.net,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
support-appleld.com.secureupdate.duilawyeryork.com,0,0,1,2,0,0,0,1,0,1,0,1,1,1,1,1,1
webdesignmarket.com.au,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0
nepa3d.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
sotio.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
