Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
sourcemaking.com,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
searchnetworking.techtarget.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0
facebook.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
slideshare.net,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
fsjames.ca,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
pun.pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shadetreetechnology.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
text-analytics101.rxnlp.com,0,0,1,3,0,0,0,1,0,1,1,1,1,1,1,1,0
tntsuperfantastic.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
iowastateparks.reserveamerica.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
urbanmeisters.ovh,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1
whatsappjoins.4dq.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
iloveazores.net,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
hmrc.tax22refund.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
itisrighi.fg.it,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1
google.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
tabellenexperte.de,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
docs.textadventures.co.uk,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0
coolmath-games.com,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0
enjoy-retirement-jobs.com,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0
inventureacademy.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
aardo.xyz,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1
netflix.hotmaster.dns-cloud.net,0,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,1
sloaneandhyde.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
gold-mail.ru:443,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
url9934.denfield.co.uk,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1
uk0qx.codesandbox.io,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
mattiesaustin.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
9to5mac.com,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
en.wikipedia.org,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
xtronbikewear.co.uk,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1
clarias.pl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
carmi.be,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0
sharing.com.tw,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
marsbahis234.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
bing.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
623112j4j3.codesandbox.io,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
a0606fd403668c961e9c-2735b9aa10f99e23cb0338f1a0bdc577.ssl.cf2.rackcdn.com,0,0,1,4,0,0,0,1,0,1,1,1,0,0,1,0,1
sanjuandelsur.org,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
sindhuratna.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
walterland.net,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
hysteria.gr,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
fhm.nl,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
liberopensiero.eu,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
endicia.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
ata22.ir,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
irchelp.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mchr3k.github.io,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
dottech.org,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0
betasus17.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
en.wikipedia.org,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
174.139.46.28,0,1,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1
vocabulary.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
ida.liu.se,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
cigars-of-cuba.com,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
uwwivwhdqgjrauuhsjnznfzjprsdvgaiyojw-dot-gl494903049.wl.r.appspot.com,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1
oxfordlimoservice.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
impotspublicservice.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
therightnote.com.au,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
colonialtoyotact.com,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
iplocationfinder.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
greatdayimprovements.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
exifviewer.herokuapp.com,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
modelio.org,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
nudevista.se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
financiallifecoaching.builderallwp.com,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,1
attys.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
imore.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
u.to,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1
acquadiparma.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
naranjayverde.es,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
623112j4j3.codesandbox.io,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
xmley.codesandbox.io,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
edition.cnn.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
support.dlink.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
adtbusiness.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
ecngx270.inmotionhosting.com,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1
prefabbricatipanozzo.it,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
thefreedictionary.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
mail.midyatmimaritas.com,0,0,1,5,0,0,0,0,0,1,0,0,1,1,1,1,1
tumblr.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
betasuscom.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
showwall.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mesquecamping.es,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,1,1
hghltdpendin-gemail.imfast.io,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
nocti.org,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,1,0
xfinity.com-sign-in-secure-cpessfile-appmail.2bpnmedia.co.th,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
en.academic.ru,0,0,0,3,0,0,0,0,0,1,0,1,1,1,1,1,0
dailyembroidery.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
jhanjartv.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,0,1
gasecurity.com.ar,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1
03418f6.netsolhost.com,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1
mojeurlopy.pl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
secureupdate.appleld.com.duilawyeryork.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,1
623112j4j3.codesandbox.io,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
visa.com-vmore-7149313398.imagelinetech.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
lda-tripoli.com,0,1,1,3,0,0,0,1,0,1,0,0,0,0,1,0,1
downloadsource.net,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
xn--wellness-rhn-fjb.de,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1
careerride.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
