Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
wikihow.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
en.wikipedia.org,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
mogamicable.com,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
genexdbs.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
en.wikipedia.org,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
libertyshield.com,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
alquileres.com.py,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
threenetworksystems.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
page.app15.in,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,1
mailingshipauthbox.webador.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
topreviews.s3.amazonaws.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
eve292929.dothome.co.kr,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
oldmalayalamcinema.wordpress.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
site9423773.92.webydo.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
tutorialspoint.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0
bajer.info.pl,0,0,1,7,0,0,0,0,0,1,0,1,1,0,1,0,1
horstmicket.com,0,0,0,2,0,0,1,0,0,1,0,0,1,1,1,1,1
accessify.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
computerworld.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
fulllinestencil.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
vconlakte.hop.ru,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
giangua.dev.digiprojects.top,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1
appleid.dk-login-id-customer-found.bluedogtimberworks.com.au,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
elegantthemes.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
myppbilling-acount.link,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
support-appleld.com.secureupdate.duilawyeryork.com,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1,1
secretive-invention.surge.sh,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
switzerlandrental.top,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
shadetreetechnology.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
vilanovacenter.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
playmeo.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
jreg99.com,0,0,1,8,0,0,0,0,0,1,1,1,1,0,1,0,1
