Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
techcrunch.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
lovetheedit.com,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,1
pfsoftware.in,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
support-appleld.com.secureupdate.duilawyeryork.com,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1,1
hepsbahis01.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
20200803154002-dot-res4po1ns5ive.rj.r.appspot.com,0,0,1,2,0,0,1,1,1,1,1,1,0,0,1,0,1
colpatria.banco.net.co,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,1
cr43245.tmweb.ru,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,1
use.ge,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1
bestpingpongtables.review,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
insidethefun.com,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
workinbridges.org,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
image.guardian.co.uk,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0,0
bokepwhaatsap.mrface.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
real-express.pro,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,1,1
iemulators.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
bit.ly,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
youtube.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
firstbanktrust1.vmpxsites.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
wine.iwebsite.com.au,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
etecindsvc.com,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
3g4g.co.uk,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
ww4.farmoyunlari.com,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0
nilepack.net,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,1
financiallifecoaching.builderallwp.com,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1
