Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
marsbahis234.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
web.fe.up.pt,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
en.wikipedia.org,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
totaloverland.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
stortrk.com,0,0,1,3,0,0,0,0,0,1,0,0,1,1,1,1,1
careerjet.com,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
starmak.com.tr,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
pro645r.uk.r.appspot.com,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1
prepaid-karte-vergleich.de,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
unive.nl,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
paxful.com.transfer.boubit.com,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
animatics.co.uk,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
mashable.com,0,0,0,4,0,0,0,0,0,1,1,1,0,0,1,0,0
spacetimestudios.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
pphwm.app.link,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
bancoestado700.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
upgrade-emailexchange.ml,0,0,1,3,0,0,0,1,0,1,1,1,0,0,1,0,1
poolscalifornia.top,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
radio-electronics.com,0,0,1,4,0,0,0,1,0,1,0,1,0,0,1,1,0
irvinecompanyapartments.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
araloexpress.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
encryptdrive.booogle.net,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
megavideosdesexo.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
secureupdate.appleld.com.duilawyeryork.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1
accofestival.co.il,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1,1
ybhr.or.id,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,1
emailmg.webhost4life.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
etvmedia.pl,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
it-services.my-free.website,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
vbf9iuherwiu.wl.r.appspot.com,0,0,1,2,0,0,1,0,1,1,1,1,0,0,1,0,1
definitions.net,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
en.wikipedia.org,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
interestingfacts.org,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
stolizaparketa.ru,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,1
leeesoft.ru,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,1
bd.retirezee.com,0,1,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1
support-appleld.com.secureupdate.duilawyeryork.com,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1,1
mainframecustom.com,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
secretplacemeditation.com,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
searchnetworking.techtarget.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0
walmart.ca,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
llewellyn.com,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0
labs.biology.ucsd.edu,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
tech-faq.com,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
alqurancampus.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
discussions.apple.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0
americanmcgee.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
searchstorage.techtarget.com,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,0
filetransfer.io,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
consumerreports.org,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
imdb.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,1,0
ee-accountbilling.co.uk,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
developer.mozilla.org,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,0
northstarchevrolet.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0
office-f02a8.web.app,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1
monster.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
caa.co.za,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0
kalemprom.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,1
plus-de-bulles.com,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
ibtimes.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
tumblr.com,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
firstgradewow.blogspot.com,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
kecmanijada.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,1
jcsgt.codesandbox.io,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
aan-shared.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
vacareers.va.gov,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
ahyesmysavedstudystuff.tumblr.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
zamzar.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
arafinmedia.com,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1
yahoo.digitalmktg.com.hk,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1
j.mp,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1
melisa39profile.online-orders.us,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
mockup.metradigitalmedia.com,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1
maxfurn.com,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
agrocomlimited.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1
serialnumber-software.blogspot.com,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0
cingular-oac.qpass.com,0,0,0,3,0,0,0,1,0,0,1,1,0,0,1,0,1
rudiguvenlik.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
