Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
justlookapp.com,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,0,1
bioatomic.tumblr.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
brooklyncitycollege.co.za,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
onlinemathlearning.com,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
burgerking.com.br,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
ntu.edu.sg,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,0
paradigmsolutions.files.wordpress.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
afternic.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
support-appleld.com.secureupdate.duilawyeryork.com,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1,1
sciencekids.co.nz,0,0,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0
planetfacts.org,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
websupportservice.my-free.website,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
acronymfinder.com,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
donpepe.hu,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
wtvpc.com,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0
learning4kids.net,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
betasus777.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1
thinkwithportals.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
vk.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1
pannative.blogspot.com,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
servicefacture.blogspot.com,0,0,1,3,0,0,1,0,1,1,1,1,0,0,1,0,1
tyrannisesprices.net,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
youtube.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
heryerdenoyna.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Cisco.com,0,0,1,8,0,0,0,0,0,1,1,1,0,0,1,0,0
adulttubetwink.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
whatsaptgroup.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
instagram.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
info.lionnets.com,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
